timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
576745474550596,-9.336874,-0.009067,7.291780,3.053159,-1.569142,0.000003,-9.337503,-0.005638,7.286948,3.053402,-1.569270,-0.000511,0.003169,0.054672,0.000000,0.006645,0.003797,0.000000,-1.706752,-1.739462,-17.134252,-4.947945,2.187771,-0.000440,0.420622,-0.162623,0.761479,4
576745475562149,-9.336875,-0.009007,7.291783,3.053162,-1.569138,0.000001,-9.337518,-0.005522,7.286828,3.053410,-1.569273,-0.000524,-0.000000,0.059426,0.003169,0.002848,0.003797,0.000000,-1.492276,-3.009071,-17.560989,-5.023332,2.194352,-0.000536,0.420651,-0.162620,0.761453,4
576745476551033,-9.336876,-0.008955,7.291782,3.053167,-1.569132,0.000003,-9.337533,-0.005407,7.286708,3.053418,-1.569277,-0.000537,-0.000000,0.056257,0.000000,0.002848,0.005695,0.000000,-1.472443,-1.930935,-17.217990,-4.926354,2.198579,-0.000552,0.420676,-0.162617,0.761432,4
576745477545775,-9.336876,-0.008896,7.291784,3.053169,-1.569126,0.000004,-9.337548,-0.005292,7.286588,3.053426,-1.569280,-0.000550,-0.000000,0.053879,0.000000,0.002848,0.004746,0.000000,-1.466279,-1.235978,-17.046772,-4.875489,2.210734,-0.000562,0.420705,-0.162614,0.761408,4
576745478549471,-9.336874,-0.008839,7.291782,3.053175,-1.569122,0.000002,-9.337563,-0.005176,7.286468,3.053434,-1.569283,-0.000563,-0.000000,0.057841,0.000000,0.005695,0.004746,0.000000,-1.517829,-2.210680,-17.351464,-4.973100,2.202764,-0.000536,0.420732,-0.162610,0.761385,4
576745479550121,-9.336874,-0.008785,7.291783,3.053181,-1.569114,0.000001,-9.337578,-0.005061,7.286348,3.053443,-1.569287,-0.000576,-0.000000,0.054672,0.000000,0.005695,0.005695,-0.002848,-1.506803,-1.296484,-17.116061,-4.903831,2.215595,-0.000533,0.420759,-0.162606,0.761363,4
576745480563219,-9.336874,-0.008725,7.291782,3.053182,-1.569105,0.000001,-9.337593,-0.004946,7.286228,3.053451,-1.569291,-0.000589,-0.000000,0.060218,0.000000,-0.000000,0.012340,0.000000,-1.543824,-2.640144,-17.498799,-5.005427,2.196239,-0.000512,0.420789,-0.162603,0.761340,4
576745481543949,-9.336876,-0.008664,7.291783,3.053182,-1.569098,0.000001,-9.337608,-0.004831,7.286108,3.053459,-1.569294,-0.000602,-0.002377,0.058634,0.000000,-0.000000,0.007594,0.000000,-1.347310,-2.130793,-17.378306,-4.939826,2.216489,-0.000616,0.420818,-0.162601,0.761316,4
576745482555623,-9.336874,-0.008609,7.291781,3.053184,-1.569093,0.000001,-9.337623,-0.004715,7.285988,3.053467,-1.569298,-0.000615,-0.000000,0.058634,-0.002377,-0.000000,0.004746,0.000000,-1.544000,-1.947083,-17.313562,-4.951594,2.210679,-0.000519,0.420844,-0.162598,0.761295,4
576745483551481,-9.336877,-0.008547,7.291780,3.053185,-1.569083,0.000000,-9.337638,-0.004600,7.285868,3.053475,-1.569302,-0.000628,-0.000000,0.057841,0.000000,-0.000000,0.010442,-0.002848,-1.556893,-1.795395,-17.332237,-4.955430,2.217286,-0.000499,0.420875,-0.162596,0.761271,4
